,細項分類,RoadName,ColorCode,正成長家數,負成長家數,成長衰退
0,便利商店,峨嵋街,blue,1,2,-1
1,便利商店,峨嵋街,green,2,1,1
2,便利商店,武昌街二段,red,2,1,1
3,便利商店,漢中街,yellow,3,1,2
4,便利商店,漢口街一段,purple,1,3,-2
5,其他批發零售或服務,峨嵋街,blue,2,2,0
6,其他批發零售或服務,峨嵋街,green,2,1,1
7,其他批發零售或服務,成都路,pink,1,1,0
8,其他批發零售或服務,武昌街二段,red,2,2,0
9,文具書籍、出版、教育休閒及玩具娛樂用品店,武昌街二段,red,1,1,0
10,文具書籍、出版、教育休閒及玩具娛樂用品店,漢中街,yellow,1,1,0
11,文具書籍、出版、教育休閒及玩具娛樂用品店,漢口街一段,purple,1,2,-1
12,旅館,武昌街二段,red,3,1,2
13,服飾相關,武昌街二段,red,2,1,1
14,百貨公司,峨嵋街,blue,2,1,1
15,百貨公司,武昌街二段,red,1,1,0
16,網路購物,武昌街二段,red,1,1,0
17,美容美體服務或化妝品相關,峨嵋街,green,1,1,0
18,美容美體服務或化妝品相關,武昌街二段,red,1,1,0
19,美容美體服務或化妝品相關,漢中街,yellow,3,2,1
20,診所或醫療用品相關,漢中街,yellow,1,1,0
21,通信服務及手機周邊相關,峨嵋街,blue,2,1,1
22,電影,武昌街二段,red,1,3,-2
23,電腦及網路軟硬體相關,峨嵋街,green,1,1,0
24,飲料及冰果店,峨嵋街,green,1,1,0
25,飲料及冰果店,武昌街二段,red,2,2,0
26,飲料及冰果店,漢中街,yellow,1,1,0
27,餐廳及飲食相關,峨嵋街,blue,3,2,1
28,餐廳及飲食相關,峨嵋街,green,1,5,-4
29,餐廳及飲食相關,成都路,pink,1,3,-2
30,餐廳及飲食相關,武昌街二段,red,3,3,0
31,餐廳及飲食相關,漢中街,yellow,4,8,-4
