,平假日,xm_dist,細項分類,size_all2019,size_pos,size_neg,changes
21,假日,中山,餐廳及飲食相關,131,58.0,39.0,19.0
121,假日,西門町,便利商店,56,33.0,19.0,14.0
3,假日,中山,其他批發零售或服務,29,14.0,4.0,10.0
8,假日,中山,旅館,32,16.0,6.0,10.0
20,假日,中山,飲料及冰果店,81,30.0,21.0,9.0
39,假日,熱區_中山,旅館,25,12.0,4.0,8.0
52,假日,熱區_中山,餐廳及飲食相關,83,36.0,29.0,7.0
40,假日,熱區_中山,服飾相關,15,8.0,1.0,7.0
44,假日,熱區_中山,診所或醫療用品相關,15,7.0,0.0,7.0
51,假日,熱區_中山,飲料及冰果店,45,21.0,14.0,7.0
53,假日,熱區_西門町,便利商店,36,20.0,13.0,7.0
13,假日,中山,診所或醫療用品相關,21,8.0,2.0,6.0
124,假日,西門町,其他批發零售或服務,35,15.0,9.0,6.0
128,假日,西門町,旅館,27,9.0,3.0,6.0
1,假日,中山,停車場,23,11.0,6.0,5.0
108,假日,綠區,便利商店,9,6.0,1.0,5.0
56,假日,熱區_西門町,其他批發零售或服務,27,11.0,7.0,4.0
74,假日,紅區,便利商店,9,6.0,2.0,4.0
35,假日,熱區_中山,其他批發零售或服務,15,6.0,2.0,4.0
64,假日,熱區_西門町,美容美體服務或化妝品相關,11,4.0,0.0,4.0
60,假日,熱區_西門町,旅館,20,6.0,2.0,4.0
132,假日,西門町,美容美體服務或化妝品相關,13,5.0,1.0,4.0
122,假日,西門町,停車場,13,8.0,4.0,4.0
9,假日,中山,服飾相關,24,9.0,5.0,4.0
19,假日,中山,電腦及網路軟硬體相關,3,3.0,0.0,3.0
148,假日,黃區,美容美體服務或化妝品相關,3,3.0,0.0,3.0
45,假日,熱區_中山,通信服務及手機周邊相關,9,4.0,1.0,3.0
115,假日,綠區,美容美體服務或化妝品相關,6,3.0,0.0,3.0
82,假日,紅區,服飾相關,8,3.0,1.0,2.0
62,假日,熱區_西門町,百貨公司,4,3.0,1.0,2.0
130,假日,西門町,百貨公司,4,3.0,1.0,2.0
6,假日,中山,家用電器或家具,3,2.0,0.0,2.0
10,假日,中山,百貨公司,9,5.0,3.0,2.0
50,假日,熱區_中山,電腦及網路軟硬體相關,2,2.0,0.0,2.0
12,假日,中山,美容美體服務或化妝品相關,29,10.0,8.0,2.0
14,假日,中山,通信服務及手機周邊相關,10,4.0,2.0,2.0
41,假日,熱區_中山,百貨公司,9,5.0,3.0,2.0
102,假日,紫區,通信服務及手機周邊相關,3,2.0,0.0,2.0
99,假日,紫區,百貨公司,2,2.0,0.0,2.0
83,假日,紅區,百貨公司,1,1.0,0.0,1.0
81,假日,紅區,旅館,9,3.0,2.0,1.0
107,假日,紫區,餐廳及飲食相關,25,8.0,7.0,1.0
63,假日,熱區_西門町,網路購物,2,1.0,0.0,1.0
106,假日,紫區,飲料及冰果店,13,3.0,2.0,1.0
105,假日,紫區,金（銀）飾,1,1.0,0.0,1.0
66,假日,熱區_西門町,通信服務及手機周邊相關,6,2.0,1.0,1.0
139,假日,西門町,電腦及網路軟硬體相關,2,1.0,0.0,1.0
101,假日,紫區,診所或醫療用品相關,4,2.0,1.0,1.0
142,假日,黃區,便利商店,4,2.0,1.0,1.0
69,假日,熱區_西門町,金（銀）飾,1,1.0,0.0,1.0
70,假日,熱區_西門町,電影,1,1.0,0.0,1.0
71,假日,熱區_西門町,電腦及網路軟硬體相關,1,1.0,0.0,1.0
137,假日,西門町,金（銀）飾,1,1.0,0.0,1.0
134,假日,西門町,通信服務及手機周邊相關,6,2.0,1.0,1.0
131,假日,西門町,網路購物,3,1.0,0.0,1.0
93,假日,紫區,其他批發零售或服務,8,3.0,2.0,1.0
88,假日,紅區,電影,1,1.0,0.0,1.0
