,平假日,xm_dist,細項分類,size_all2019,size_pos,size_neg,changes
175,平日,中山,餐廳及飲食相關,130,64.0,37.0,27.0
207,平日,熱區_中山,餐廳及飲食相關,83,42.0,23.0,19.0
174,平日,中山,飲料及冰果店,85,34.0,19.0,15.0
279,平日,西門町,其他批發零售或服務,40,20.0,7.0,13.0
195,平日,熱區_中山,服飾相關,18,12.0,2.0,10.0
162,平日,中山,旅館,34,16.0,7.0,9.0
206,平日,熱區_中山,飲料及冰果店,46,21.0,13.0,8.0
194,平日,熱區_中山,旅館,24,11.0,5.0,6.0
276,平日,西門町,便利商店,56,29.0,23.0,6.0
163,平日,中山,服飾相關,34,15.0,9.0,6.0
211,平日,熱區_西門町,其他批發零售或服務,29,13.0,7.0,6.0
154,平日,中山,便利商店,79,36.0,31.0,5.0
219,平日,熱區_西門町,美容美體服務或化妝品相關,12,5.0,1.0,4.0
220,平日,熱區_西門町,診所或醫療用品相關,11,6.0,2.0,4.0
287,平日,西門町,美容美體服務或化妝品相關,14,6.0,2.0,4.0
288,平日,西門町,診所或醫療用品相關,13,6.0,2.0,4.0
229,平日,紅區,便利商店,9,6.0,2.0,4.0
256,平日,紫區,診所或醫療用品相關,4,3.0,0.0,3.0
265,平日,綠區,其他批發零售或服務,12,6.0,3.0,3.0
177,平日,灰區,其他批發零售或服務,3,3.0,0.0,3.0
302,平日,黃區,美容美體服務或化妝品相關,3,3.0,0.0,3.0
270,平日,綠區,美容美體服務或化妝品相關,6,3.0,0.0,3.0
208,平日,熱區_西門町,便利商店,36,18.0,15.0,3.0
277,平日,西門町,停車場,13,7.0,4.0,3.0
268,平日,綠區,服飾相關,8,3.0,1.0,2.0
274,平日,綠區,飲料及冰果店,15,4.0,2.0,2.0
215,平日,熱區_西門町,旅館,28,6.0,4.0,2.0
196,平日,熱區_中山,百貨公司,9,5.0,3.0,2.0
254,平日,紫區,百貨公司,2,2.0,0.0,2.0
155,平日,中山,停車場,22,9.0,7.0,2.0
282,平日,西門町,文具書籍、出版、教育休閒及玩具娛樂用品店,12,6.0,4.0,2.0
167,平日,中山,診所或醫療用品相關,25,9.0,7.0,2.0
301,平日,黃區,服飾相關,6,2.0,0.0,2.0
