分區,平假日,差異,值
灰區,假日,2020年底-2019年底,5.3
灰區,假日,2021年底-2020年底,-6.84
灰區,假日,2022年中-2021年底,-0.92
灰區,假日,2021年底-2019年底,0.54
紅區,假日,2020年底-2019年底,-8.18
紅區,假日,2021年底-2020年底,3.71
紅區,假日,2022年中-2021年底,-7.41
紅區,假日,2021年底-2019年底,-6.82
紫區,假日,2020年底-2019年底,-2.54
紫區,假日,2021年底-2020年底,-7.89
紫區,假日,2022年中-2021年底,-6.2
紫區,假日,2021年底-2019年底,-8.62
綠區,假日,2020年底-2019年底,-7.05
綠區,假日,2021年底-2020年底,14.23
綠區,假日,2022年中-2021年底,-10.98
綠區,假日,2021年底-2019年底,1.68
黃區,假日,2020年底-2019年底,-4.5
黃區,假日,2021年底-2020年底,24.71
黃區,假日,2022年中-2021年底,-9
黃區,假日,2021年底-2019年底,12.35
