分區,平假日,差異,值
灰區,平日,2020年底-2019年底,6.28
灰區,平日,2021年底-2020年底,-13.08
灰區,平日,2022年中-2021年底,5.8
灰區,平日,2021年底-2019年底,-4.16
紅區,平日,2020年底-2019年底,-10.03
紅區,平日,2021年底-2020年底,6.59
紅區,平日,2022年中-2021年底,-8.58
紅區,平日,2021年底-2019年底,-6.75
紫區,平日,2020年底-2019年底,1
紫區,平日,2021年底-2020年底,-4.37
紫區,平日,2022年中-2021年底,-9.81
紫區,平日,2021年底-2019年底,-2.4
綠區,平日,2020年底-2019年底,-11.46
綠區,平日,2021年底-2020年底,15.27
綠區,平日,2022年中-2021年底,-7.08
綠區,平日,2021年底-2019年底,-2.55
黃區,平日,2020年底-2019年底,-6.24
黃區,平日,2021年底-2020年底,27.85
黃區,平日,2022年中-2021年底,-6.72
黃區,平日,2021年底-2019年底,13.4
