平假日,xm_dist,細項分類,size_all2019,size_pos,size_neg
假日,中山,便利商店,78,32.0,34.0
假日,中山,停車場,23,11.0,6.0
假日,中山,健康俱樂部,2,1.0,1.0
假日,中山,其他批發零售或服務,29,14.0,4.0
假日,中山,博物館,1,1.0,0.0
假日,中山,咖啡館,13,1.0,9.0
假日,中山,家用電器或家具,3,2.0,0.0
假日,中山,文具書籍、出版、教育休閒及玩具娛樂用品店,8,3.0,2.0
假日,中山,旅館,32,16.0,6.0
假日,中山,服飾相關,24,9.0,5.0
假日,中山,百貨公司,9,5.0,3.0
假日,中山,網路購物,1,1.0,0.0
假日,中山,美容美體服務或化妝品相關,29,10.0,8.0
假日,中山,診所或醫療用品相關,21,8.0,2.0
假日,中山,通信服務及手機周邊相關,10,4.0,2.0
假日,中山,連鎖速食店,14,3.0,8.0
假日,中山,量販店及超級市場,18,2.0,14.0
假日,中山,金（銀）飾,1,0.0,0.0
假日,中山,電影,3,2.0,1.0
假日,中山,電腦及網路軟硬體相關,3,3.0,0.0
假日,中山,飲料及冰果店,81,30.0,21.0
假日,中山,餐廳及飲食相關,131,58.0,39.0
假日,灰區,便利商店,5,2.0,3.0
假日,灰區,其他批發零售或服務,2,1.0,1.0
假日,灰區,咖啡館,1,0.0,0.0
假日,灰區,旅館,2,1.0,0.0
假日,灰區,美容美體服務或化妝品相關,1,1.0,0.0
假日,灰區,診所或醫療用品相關,1,0.0,0.0
假日,灰區,量販店及超級市場,2,0.0,2.0
假日,灰區,電影,1,0.0,1.0
假日,灰區,飲料及冰果店,1,0.0,0.0
假日,灰區,餐廳及飲食相關,5,1.0,1.0
假日,熱區_中山,便利商店,50,21.0,24.0
假日,熱區_中山,停車場,11,2.0,3.0
假日,熱區_中山,健康俱樂部,1,1.0,0.0
假日,熱區_中山,其他批發零售或服務,15,6.0,2.0
假日,熱區_中山,咖啡館,6,0.0,4.0
假日,熱區_中山,家用電器或家具,2,1.0,0.0
假日,熱區_中山,文具書籍、出版、教育休閒及玩具娛樂用品店,5,2.0,2.0
假日,熱區_中山,旅館,25,12.0,4.0
假日,熱區_中山,服飾相關,15,8.0,1.0
假日,熱區_中山,百貨公司,9,5.0,3.0
假日,熱區_中山,網路購物,1,1.0,0.0
假日,熱區_中山,美容美體服務或化妝品相關,20,6.0,5.0
假日,熱區_中山,診所或醫療用品相關,15,7.0,0.0
假日,熱區_中山,通信服務及手機周邊相關,9,4.0,1.0
假日,熱區_中山,連鎖速食店,8,1.0,6.0
假日,熱區_中山,量販店及超級市場,10,0.0,8.0
假日,熱區_中山,金（銀）飾,1,0.0,0.0
假日,熱區_中山,電影,1,0.0,1.0
假日,熱區_中山,電腦及網路軟硬體相關,2,2.0,0.0
假日,熱區_中山,飲料及冰果店,45,21.0,14.0
假日,熱區_中山,餐廳及飲食相關,83,36.0,29.0
假日,熱區_西門町,便利商店,36,20.0,13.0
假日,熱區_西門町,停車場,6,2.0,3.0
假日,熱區_西門町,健康俱樂部,1,0.0,1.0
假日,熱區_西門町,其他批發零售或服務,27,11.0,7.0
假日,熱區_西門町,咖啡館,6,0.0,5.0
假日,熱區_西門町,家用電器或家具,3,0.0,0.0
假日,熱區_西門町,文具書籍、出版、教育休閒及玩具娛樂用品店,9,4.0,4.0
假日,熱區_西門町,旅館,20,6.0,2.0
假日,熱區_西門町,服飾相關,26,4.0,9.0
假日,熱區_西門町,百貨公司,4,3.0,1.0
假日,熱區_西門町,網路購物,2,1.0,0.0
假日,熱區_西門町,美容美體服務或化妝品相關,11,4.0,0.0
假日,熱區_西門町,診所或醫療用品相關,11,4.0,4.0
假日,熱區_西門町,通信服務及手機周邊相關,6,2.0,1.0
假日,熱區_西門町,連鎖速食店,6,0.0,3.0
假日,熱區_西門町,量販店及超級市場,4,1.0,2.0
假日,熱區_西門町,金（銀）飾,1,1.0,0.0
假日,熱區_西門町,電影,1,1.0,0.0
假日,熱區_西門町,電腦及網路軟硬體相關,1,1.0,0.0
假日,熱區_西門町,飲料及冰果店,43,9.0,12.0
假日,熱區_西門町,餐廳及飲食相關,75,21.0,31.0
假日,紅區,便利商店,9,6.0,2.0
假日,紅區,停車場,1,0.0,1.0
假日,紅區,健康俱樂部,1,0.0,1.0
假日,紅區,其他批發零售或服務,2,1.0,0.0
假日,紅區,咖啡館,1,0.0,0.0
假日,紅區,家用電器或家具,1,0.0,0.0
假日,紅區,文具書籍、出版、教育休閒及玩具娛樂用品店,3,1.0,1.0
假日,紅區,旅館,9,3.0,2.0
假日,紅區,服飾相關,8,3.0,1.0
假日,紅區,百貨公司,1,1.0,0.0
假日,紅區,診所或醫療用品相關,4,1.0,1.0
假日,紅區,通信服務及手機周邊相關,2,0.0,1.0
假日,紅區,連鎖速食店,2,0.0,2.0
假日,紅區,量販店及超級市場,1,0.0,1.0
假日,紅區,電影,1,1.0,0.0
假日,紅區,飲料及冰果店,7,2.0,2.0
假日,紅區,餐廳及飲食相關,8,3.0,4.0
假日,紫區,便利商店,5,2.0,3.0
假日,紫區,停車場,1,0.0,1.0
假日,紫區,其他批發零售或服務,8,3.0,2.0
假日,紫區,咖啡館,2,0.0,2.0
假日,紫區,家用電器或家具,1,0.0,0.0
假日,紫區,文具書籍、出版、教育休閒及玩具娛樂用品店,1,0.0,1.0
假日,紫區,旅館,3,0.0,0.0
假日,紫區,服飾相關,9,0.0,5.0
假日,紫區,百貨公司,2,2.0,0.0
假日,紫區,美容美體服務或化妝品相關,2,1.0,0.0
假日,紫區,診所或醫療用品相關,4,2.0,1.0
假日,紫區,通信服務及手機周邊相關,3,2.0,0.0
假日,紫區,連鎖速食店,1,0.0,0.0
假日,紫區,量販店及超級市場,3,1.0,1.0
假日,紫區,金（銀）飾,1,1.0,0.0
假日,紫區,飲料及冰果店,13,3.0,2.0
假日,紫區,餐廳及飲食相關,25,8.0,7.0
假日,綠區,便利商店,9,6.0,1.0
假日,綠區,停車場,1,0.0,1.0
假日,綠區,其他批發零售或服務,12,5.0,4.0
假日,綠區,文具書籍、出版、教育休閒及玩具娛樂用品店,3,1.0,2.0
假日,綠區,旅館,3,0.0,0.0
假日,綠區,服飾相關,7,1.0,3.0
假日,綠區,網路購物,1,1.0,0.0
假日,綠區,美容美體服務或化妝品相關,6,3.0,0.0
假日,綠區,診所或醫療用品相關,3,1.0,2.0
假日,綠區,連鎖速食店,1,0.0,0.0
假日,綠區,電腦及網路軟硬體相關,1,1.0,0.0
假日,綠區,飲料及冰果店,15,3.0,3.0
假日,綠區,餐廳及飲食相關,27,7.0,12.0
假日,西門町,便利商店,56,33.0,19.0
假日,西門町,停車場,13,8.0,4.0
假日,西門町,健康俱樂部,1,0.0,1.0
假日,西門町,其他批發零售或服務,35,15.0,9.0
假日,西門町,咖啡館,10,1.0,5.0
假日,西門町,家用電器或家具,5,0.0,1.0
假日,西門町,文具書籍、出版、教育休閒及玩具娛樂用品店,9,4.0,4.0
假日,西門町,旅館,27,9.0,3.0
假日,西門町,服飾相關,31,6.0,10.0
假日,西門町,百貨公司,4,3.0,1.0
假日,西門町,網路購物,3,1.0,0.0
假日,西門町,美容美體服務或化妝品相關,13,5.0,1.0
假日,西門町,診所或醫療用品相關,13,4.0,4.0
假日,西門町,通信服務及手機周邊相關,6,2.0,1.0
假日,西門町,連鎖速食店,7,1.0,3.0
假日,西門町,量販店及超級市場,11,3.0,7.0
假日,西門町,金（銀）飾,1,1.0,0.0
假日,西門町,電影,2,1.0,1.0
假日,西門町,電腦及網路軟硬體相關,2,1.0,0.0
假日,西門町,飲料及冰果店,55,11.0,16.0
假日,西門町,餐廳及飲食相關,95,26.0,37.0
假日,黃區,便利商店,4,2.0,1.0
假日,黃區,其他批發零售或服務,8,3.0,2.0
假日,黃區,咖啡館,1,0.0,1.0
假日,黃區,文具書籍、出版、教育休閒及玩具娛樂用品店,1,1.0,0.0
假日,黃區,旅館,4,0.0,0.0
假日,黃區,服飾相關,5,1.0,1.0
假日,黃區,美容美體服務或化妝品相關,3,3.0,0.0
假日,黃區,診所或醫療用品相關,1,0.0,1.0
假日,黃區,通信服務及手機周邊相關,1,0.0,0.0
假日,黃區,連鎖速食店,2,0.0,1.0
假日,黃區,飲料及冰果店,14,1.0,5.0
假日,黃區,餐廳及飲食相關,16,3.0,9.0
平日,中山,便利商店,79,36.0,31.0
平日,中山,停車場,22,9.0,7.0
平日,中山,健康俱樂部,2,1.0,1.0
平日,中山,其他批發零售或服務,36,14.0,12.0
平日,中山,博物館,1,0.0,1.0
平日,中山,咖啡館,12,3.0,6.0
平日,中山,家用電器或家具,5,2.0,1.0
平日,中山,文具書籍、出版、教育休閒及玩具娛樂用品店,17,5.0,5.0
平日,中山,旅館,34,16.0,7.0
平日,中山,服飾相關,34,15.0,9.0
平日,中山,百貨公司,9,5.0,3.0
平日,中山,網路購物,3,1.0,1.0
平日,中山,美容美體服務或化妝品相關,33,11.0,13.0
平日,中山,診所或醫療用品相關,25,9.0,7.0
平日,中山,通信服務及手機周邊相關,10,4.0,4.0
平日,中山,連鎖速食店,14,4.0,7.0
平日,中山,量販店及超級市場,18,4.0,13.0
平日,中山,金（銀）飾,3,1.0,1.0
平日,中山,電影,3,2.0,1.0
平日,中山,電腦及網路軟硬體相關,6,3.0,3.0
平日,中山,飲料及冰果店,85,34.0,19.0
平日,中山,餐廳及飲食相關,130,64.0,37.0
平日,灰區,便利商店,5,2.0,3.0
平日,灰區,其他批發零售或服務,3,3.0,0.0
平日,灰區,咖啡館,1,0.0,0.0
平日,灰區,旅館,4,0.0,1.0
平日,灰區,服飾相關,1,0.0,0.0
平日,灰區,美容美體服務或化妝品相關,1,0.0,1.0
平日,灰區,診所或醫療用品相關,1,0.0,0.0
平日,灰區,量販店及超級市場,2,0.0,2.0
平日,灰區,電影,2,0.0,1.0
平日,灰區,飲料及冰果店,1,0.0,0.0
平日,灰區,餐廳及飲食相關,5,1.0,1.0
平日,熱區_中山,便利商店,50,22.0,23.0
平日,熱區_中山,停車場,11,1.0,4.0
平日,熱區_中山,健康俱樂部,1,1.0,0.0
平日,熱區_中山,其他批發零售或服務,20,7.0,6.0
平日,熱區_中山,咖啡館,5,1.0,3.0
平日,熱區_中山,家用電器或家具,2,1.0,0.0
平日,熱區_中山,文具書籍、出版、教育休閒及玩具娛樂用品店,11,2.0,4.0
平日,熱區_中山,旅館,24,11.0,5.0
平日,熱區_中山,服飾相關,18,12.0,2.0
平日,熱區_中山,百貨公司,9,5.0,3.0
平日,熱區_中山,網路購物,3,1.0,1.0
平日,熱區_中山,美容美體服務或化妝品相關,21,5.0,8.0
平日,熱區_中山,診所或醫療用品相關,18,5.0,5.0
平日,熱區_中山,通信服務及手機周邊相關,9,4.0,3.0
平日,熱區_中山,連鎖速食店,8,1.0,6.0
平日,熱區_中山,量販店及超級市場,10,2.0,7.0
平日,熱區_中山,金（銀）飾,3,1.0,1.0
平日,熱區_中山,電影,1,0.0,1.0
平日,熱區_中山,電腦及網路軟硬體相關,2,0.0,2.0
平日,熱區_中山,飲料及冰果店,46,21.0,13.0
平日,熱區_中山,餐廳及飲食相關,83,42.0,23.0
平日,熱區_西門町,便利商店,36,18.0,15.0
平日,熱區_西門町,停車場,6,1.0,3.0
平日,熱區_西門町,健康俱樂部,1,0.0,1.0
平日,熱區_西門町,其他批發零售或服務,29,13.0,7.0
平日,熱區_西門町,咖啡館,5,0.0,4.0
平日,熱區_西門町,家用電器或家具,3,0.0,0.0
平日,熱區_西門町,文具書籍、出版、教育休閒及玩具娛樂用品店,11,5.0,4.0
平日,熱區_西門町,旅館,28,6.0,4.0
平日,熱區_西門町,服飾相關,30,6.0,9.0
平日,熱區_西門町,百貨公司,4,2.0,2.0
平日,熱區_西門町,網路購物,2,0.0,1.0
平日,熱區_西門町,美容美體服務或化妝品相關,12,5.0,1.0
平日,熱區_西門町,診所或醫療用品相關,11,6.0,2.0
平日,熱區_西門町,通信服務及手機周邊相關,6,0.0,3.0
平日,熱區_西門町,連鎖速食店,6,1.0,2.0
平日,熱區_西門町,量販店及超級市場,4,1.0,2.0
平日,熱區_西門町,金（銀）飾,1,1.0,0.0
平日,熱區_西門町,電影,2,1.0,0.0
平日,熱區_西門町,電腦及網路軟硬體相關,1,1.0,0.0
平日,熱區_西門町,飲料及冰果店,44,11.0,11.0
平日,熱區_西門町,餐廳及飲食相關,78,22.0,30.0
平日,紅區,便利商店,9,6.0,2.0
平日,紅區,停車場,1,0.0,1.0
平日,紅區,健康俱樂部,1,0.0,1.0
平日,紅區,其他批發零售或服務,2,1.0,0.0
平日,紅區,咖啡館,1,0.0,0.0
平日,紅區,家用電器或家具,1,0.0,0.0
平日,紅區,文具書籍、出版、教育休閒及玩具娛樂用品店,3,1.0,1.0
平日,紅區,旅館,12,2.0,2.0
平日,紅區,服飾相關,9,2.0,4.0
平日,紅區,百貨公司,1,0.0,1.0
平日,紅區,診所或醫療用品相關,4,1.0,1.0
平日,紅區,通信服務及手機周邊相關,2,0.0,1.0
平日,紅區,連鎖速食店,2,1.0,1.0
平日,紅區,量販店及超級市場,1,0.0,1.0
平日,紅區,電影,1,1.0,0.0
